pd,in_degree_centrality,out_degree_centrality,load_centrality,eigenvector_centrality_numpy,closeness_centrality,betweenness_centrality_source,harmonic_centrality,pagerank,average_neighbor_degree,node_clique_number,hits_numpy
E8779,0.0014326647564469914,0.0014326647564469914,0.0,0.00758072171423345,0.31196661173422385,0.0,229.86666666666903,0.00044296704417053957,229.0,2,0.0008233826434826199
N186,0.32664756446991405,0.32808022922636104,0.2961275286001068,0.2582319073094451,0.4959388575653942,0.29766680081590746,399.08333333333246,0.07739886182655417,12.799126637554584,19,0.051172579626462364
D571,0.004297994269340974,0.0028653295128939827,2.055473108245325e-05,0.010852459803737516,0.3135572636742327,8.190570937998513e-06,231.86666666666915,0.0013715554310888957,117.0,4,0.0007131187131953652
M479,0.0014326647564469914,0.0014326647564469914,0.0,3.0580867246085443e-19,0.0014326647564469914,0.0,1.0,0.001703262617543371,1.0,2,-0.0
M19012,0.0,0.0014326647564469914,0.0,-1.8788094981907486e-18,0.0,0.0,0.0,0.00025548939263151077,9.0,2,3.0558679321985004e-06
M4646,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233448,0.31196661173422385,0.0,229.86666666666903,0.00038047449365753103,229.0,2,0.0004491178055359745
C3411,0.020057306590257878,0.020057306590257878,0.0008658236296050054,0.02189596518674732,0.3074820916905444,0.0008411696328510617,231.60000000000224,0.004226428837097579,38.07142857142857,8,0.007191923806003817
R7989,0.0028653295128939827,0.0014326647564469914,0.0,0.012283303039501026,0.2938896933720854,0.0,215.95000000000127,0.00040583790643710933,118.0,3,0.0001450198552962479
E43,0.0,0.0014326647564469914,0.0,-2.9412692799740854e-18,0.0,0.0,0.0,0.00025548939263151077,1.0,2,4.1076122966879775e-07
C772,0.0014326647564469914,0.0014326647564469914,0.0,0.0005583262155487653,0.23162492782715208,0.0,167.3666666666661,0.0003634038192769684,7.0,2,7.330200215067922e-05
M1712,0.004297994269340974,0.004297994269340974,0.002403106629005179,0.0016833679379841921,0.24759504111971367,0.0024025271529770783,179.9666666666658,0.0010065247715553298,14.0,3,5.0320014502425715e-05
R1310,0.015759312320916905,0.014326647564469913,0.001644705691939821,0.03088966203473714,0.3228158442945348,0.0016642867302879554,241.16666666666939,0.0011445568498590617,66.1,8,0.0012527365910385865
T8619,0.0014326647564469914,0.0014326647564469914,0.0,0.00080809386700799,0.23483119174456854,0.0,169.86666666666602,0.0005166351636978669,10.0,2,3.111387967129346e-05
S32810D,0.0014326647564469914,0.0014326647564469914,0.0,-2.1988181217333594e-18,0.0014326647564469914,0.0,1.0,0.001703262617543371,1.0,2,-0.0
C159,0.007163323782234957,0.0057306590257879654,0.0016375269095687819,0.004609912090063696,0.28193200384233297,0.0015547533932991696,210.56666666666726,0.001742687303922738,18.75,4,0.0014055427118141665
G301,0.004297994269340974,0.004297994269340974,0.0,0.011943528413929299,0.31617695803654955,0.0,233.53333333333595,0.0007862341269122625,95.33333333333333,4,0.000783503547287622
R2681,0.028653295128939826,0.022922636103151862,0.001880089243286605,0.05428615585016732,0.34117291727106175,0.0017438784077351852,257.08333333333553,0.005309884000823041,37.0625,10,0.0039320439866683795
C55,0.0028653295128939827,0.0028653295128939827,0.0,0.00306446687861107,0.27499795791216936,0.0,204.1166666666668,0.0005132173397614405,62.5,3,0.0006970304802326972
M5442,0.0014326647564469914,0.0,0.0,0.004848474688233417,0.2740987576147603,0.0,198.5000000000005,0.00034198013594504675,0.0,2,-0.0
R1110,0.0028653295128939827,0.0014326647564469914,0.0,0.008524574557307967,0.3121645600919232,0.0,230.36666666666903,0.00047372122796787307,229.0,3,0.0008233826434826199
C153,0.0028653295128939827,0.0028653295128939827,0.0,0.004383673379907682,0.28128721938528933,0.0,208.90000000000052,0.00043966145456729845,93.0,3,0.0005386298336195931
F0390,0.020057306590257878,0.017191977077363897,0.0007916928661825413,0.04565127760366619,0.31597388998386067,0.0007448440601695832,236.9500000000027,0.003504913858419101,39.0,7,0.001936836637221375
E10621,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233453,0.31196661173422385,0.0,229.86666666666903,0.00039609763128578356,229.0,2,0.000598823740714632
C519,0.0014326647564469914,0.0014326647564469914,0.0,0.002506140663062305,0.2718073738700945,0.0,201.71666666666664,0.0003729488734126102,118.0,2,0.0004307733340386587
C801,0.0,0.0014326647564469914,0.0,2.116218967691111e-18,0.0,0.0,0.0,0.00025548939263151077,118.0,2,0.00026923333377416165
